scenario,region,tenor,2025,2030,2035,2040,2045
Delayed transition,USA,1D,-26.646823075879887,-30.497461413990976,-35.97785308043045,-41.17738182213526,-44.34616391442323
Delayed transition,USA,1M,-26.603918704684318,-30.448357083568453,-35.91992470529218,-41.11108162306357,-44.2747616210892
Delayed transition,USA,3M,-26.51548481635811,-30.34714392621617,-35.80052355069784,-40.9744245823629,-44.12758821523379
Delayed transition,USA,6M,-26.383568075286234,-30.196164362564517,-35.62241297009998,-40.77057341404988,-43.90804979573922
Delayed transition,USA,1Y,-26.12235324989009,-29.89720230485144,-35.26972745168861,-40.36691769222855,-43.473330976504805
Delayed transition,USA,5Y,-24.152571139359583,-27.642773934955038,-32.61017846262825,-37.3230099873305,-40.195181078464856
Delayed transition,USA,10Y,-21.963511948528488,-25.137381527942583,-29.65456721667162,-33.940253030697306,-36.552105976471104
Delayed transition,USA,20Y,-18.34304714448521,-20.993736135484244,-24.766309039258953,-28.34554250234779,-30.526857668659396
Delayed transition,GBR,1D,-23.322232018965263,-26.690526229400504,-30.09493379731625,-35.39979434465177,-38.64935474997038
Delayed transition,GBR,1M,-23.28468061192505,-26.64755149123039,-30.04647758146383,-35.34279670885538,-38.587124957775636
Delayed transition,GBR,3M,-23.207280178259474,-26.558972563482907,-29.94660030877591,-35.22531398114218,-38.458857782656644
