scenario,region,tenor,2025,2030,2035,2040,2045
Current Policies,KAZ,1Y,-33.69101239677298,-38.204694569119816,-44.7852211869497,-51.47227642164653,-57.74712196526585
Current Policies,KAZ,5Y,-31.150507991600215,-35.323831456189865,-41.40814689864543,-47.590958061323576,-53.3926426159644
Current Policies,KAZ,10Y,-28.327193429162367,-32.12226929295794,-37.65513509626854,-43.27756949728682,-48.55342055687823
Current Policies,KAZ,20Y,-23.657739516329475,-26.82723516209136,-31.448063493738744,-36.14369593750936,-40.5498758298763
Current Policies,MEA,1D,-42.21738931300671,-48.17800274060777,-56.137496945001566,-64.51688343763828,-72.3797399785517
Current Policies,MEA,6M,-41.80030624021376,-47.70203229925485,-55.58289136408487,-63.879494427349464,-71.66467055219785
Current Policies,MEA,1Y,-41.38645548034361,-47.22975053651014,-55.03258386885709,-63.24704505827173,-70.95514277521382
Current Policies,MEA,5Y,-38.26566851128327,-43.66834407355958,-50.88279697316076,-58.477838520563466,-65.60469943836237
Current Policies,MEA,10Y,-34.79747405427931,-39.71048015128672,-46.27105382885535,-53.17772164543849,-59.65864220749371
Current Policies,MEA,20Y,-29.061459232133895,-33.16460551719728,-38.64373438076561,-44.41190723343962,-49.82451299922233
Current Policies,AFR,1D,-46.417705694127974,-52.94429463692832,-61.70582205829146,-70.91881817743521,-79.56377588320518
Current Policies,AFR,6M,-45.95912595630082,-52.42123602403532,-61.09620468753287,-70.2181818025759,-78.77773239097642
Current Policies,AFR,1Y,-45.504100122502386,-51.90223101394742,-60.491311733165176,-69.52297522373655,-77.99778058336292
Current Policies,AFR,5Y,-42.07281805079733,-47.98849149860245,-55.929904016384754,-64.28052591005736,-72.11628011575714
Current Policies,AFR,10Y,-38.25956402881976,-43.639072641164766,-50.86071822564932,-58.45448464832365,-65.58004822205682
Current Policies,AFR,20Y,-31.952858374960858,-36.445608911471474,-42.47683860403613,-48.818848744388774,-54.76983458264271
Current Policies,LAM,1D,-36.54538491940947,-41.32799432177522,-48.60601886100423,-55.85961529946432,-62.66607878595112
Current Policies,LAM,6M,-36.184337927005984,-40.91969795043174,-48.125819871140735,-55.307755026404884,-62.046974641302434
Current Policies,LAM,1Y,-35.826088978770215,-40.51456579677898,-47.64934233031631,-54.760171563430895,-61.43266843370238
Current Policies,LAM,5Y,-33.12458699364747,-37.45952453924058,-44.05629612950376,-50.63092618942611,-56.80027677567409
Current Policies,LAM,10Y,-30.122352524176787,-34.06439463759808,-40.063270318719454,-46.04201125876532,-51.65220507762976
Current Policies,LAM,20Y,-25.156984627442363,-28.449220609624504,-33.45924176155088,-38.45244718265716,-43.13785678155441
